user_id,item_id,rating
0,283,3.0
0,101,1.0
0,187,1.0
0,325,1.0
0,288,1.0
0,201,5.0
0,245,1.0
0,115,1.0
1,215,1.0
1,204,3.0
1,84,2.0
1,61,2.0
1,329,1.0
1,249,3.0
1,336,2.0
1,275,4.0
1,359,3.0
1,78,2.0
1,59,4.0
2,362,1.0
2,70,2.0
2,273,2.0
2,108,1.0
2,22,2.0
2,170,3.0
2,388,4.0
2,243,2.0
2,206,1.0
3,319,4.0
3,60,3.0
3,326,3.0
3,31,2.0
3,346,3.0
3,289,1.0
3,223,4.0
3,183,2.0
3,115,3.0
3,334,1.0
4,154,1.0
4,308,2.0
4,251,3.0
4,96,3.0
4,249,2.0
4,160,4.0
4,68,3.0
4,398,4.0
4,393,2.0
5,376,2.0
5,9,3.0
5,5,1.0
5,185,3.0
5,61,1.0
5,55,3.0
6,183,2.0
6,291,4.0
6,122,1.0
6,143,3.0
6,213,1.0
6,341,2.0
6,175,1.0
7,313,1.0
7,298,2.0
7,22,1.0
7,32,4.0
7,272,2.0
7,399,1.0
7,249,1.0
7,383,5.0
7,127,3.0
7,99,4.0
8,347,4.0
8,96,3.0
8,16,1.0
8,374,4.0
8,48,1.0
8,134,4.0
8,115,3.0
8,322,1.0
9,304,1.0
9,23,1.0
9,142,4.0
9,178,1.0
9,68,3.0
9,149,4.0
9,179,3.0
9,336,2.0
10,284,1.0
10,104,1.0
10,141,3.0
10,261,3.0
10,70,1.0
10,236,1.0
10,392,5.0
10,245,1.0
10,253,3.0
10,81,4.0
11,199,3.0
11,286,3.0
11,243,1.0
11,180,1.0
11,394,1.0
11,75,3.0
11,114,3.0
11,281,3.0
11,161,2.0
11,143,3.0
11,360,2.0
11,206,1.0
11,96,2.0
11,354,2.0
12,113,1.0
12,162,2.0
12,155,4.0
12,110,1.0
12,300,1.0
12,166,1.0
12,212,3.0
12,127,3.0
12,175,2.0
12,111,2.0
12,177,2.0
12,283,4.0
13,349,2.0
13,182,4.0
13,239,3.0
13,341,1.0
13,237,1.0
13,305,3.0
13,178,1.0
13,184,3.0
13,299,4.0
13,137,2.0
14,119,3.0
14,27,3.0
14,78,3.0
14,79,1.0
14,138,3.0
14,377,3.0
14,253,2.0
14,161,2.0
14,135,4.0
14,84,3.0
14,175,2.0
15,1,4.0
15,345,1.0
15,322,2.0
15,334,1.0
15,305,1.0
15,378,1.0
15,396,2.0
15,120,4.0
15,302,3.0
16,36,2.0
16,4,5.0
16,12,4.0
16,199,2.0
16,221,1.0
16,288,1.0
16,16,1.0
16,264,5.0
17,23,1.0
17,308,2.0
17,9,2.0
17,117,3.0
17,71,2.0
17,112,2.0
17,101,1.0
17,257,1.0
17,75,3.0
17,283,3.0
17,271,2.0
17,261,3.0
17,334,2.0
17,331,3.0
18,398,4.0
18,158,1.0
18,210,3.0
18,11,2.0
18,312,1.0
18,166,3.0
19,67,3.0
19,71,2.0
19,310,2.0
19,248,1.0
19,284,1.0
19,122,3.0
19,210,1.0
19,108,1.0
19,78,2.0
19,355,1.0
20,362,1.0
20,163,5.0
20,286,2.0
20,238,4.0
20,39,4.0
20,211,1.0
20,185,4.0
20,138,3.0
20,70,1.0
21,354,1.0
21,192,1.0
21,272,3.0
21,325,1.0
21,309,3.0
21,199,3.0
21,183,3.0
21,116,1.0
21,273,3.0
22,277,1.0
22,323,3.0
22,107,4.0
22,396,3.0
22,114,2.0
22,112,1.0
22,159,3.0
23,322,2.0
23,231,5.0
23,396,3.0
23,190,1.0
23,221,2.0
23,143,3.0
23,123,1.0
23,224,4.0
23,316,1.0
23,111,2.0
23,271,3.0
24,77,3.0
24,113,2.0
24,53,3.0
24,51,1.0
24,370,2.0
24,293,3.0
24,115,2.0
24,232,3.0
24,145,3.0
24,316,1.0
24,399,1.0
24,98,1.0
25,269,3.0
25,65,2.0
25,153,2.0
25,17,3.0
25,50,3.0
25,122,1.0
25,262,3.0
25,86,5.0
25,42,4.0
26,358,3.0
26,246,1.0
26,359,3.0
26,35,4.0
26,302,4.0
26,63,3.0
26,287,3.0
26,174,1.0
26,331,4.0
26,319,1.0
26,56,1.0
26,256,2.0
26,55,1.0
27,257,1.0
27,321,2.0
27,179,2.0
27,351,4.0
27,168,3.0
27,390,4.0
27,67,3.0
27,269,3.0
27,192,1.0
28,360,3.0
28,283,3.0
28,87,5.0
28,257,1.0
28,6,3.0
28,191,5.0
28,131,3.0
28,334,1.0
