user_id,item_id,rating
0,30,1.0
0,145,4.0
1,52,4.0
1,75,2.0
1,122,2.0
1,142,5.0
1,155,4.0
1,215,1.0
1,235,4.0
1,306,2.0
1,345,1.0
2,50,3.0
2,99,4.0
2,131,3.0
3,389,3.0
4,41,2.0
4,47,4.0
4,50,2.0
4,72,2.0
4,89,4.0
4,102,1.0
4,106,4.0
4,111,1.0
4,129,4.0
4,148,4.0
4,182,4.0
4,271,1.0
4,299,5.0
4,308,2.0
4,332,5.0
4,388,5.0
5,18,3.0
5,38,3.0
5,71,3.0
5,72,1.0
5,142,5.0
5,176,4.0
5,235,4.0
5,261,1.0
5,365,1.0
6,66,5.0
6,114,1.0
6,221,1.0
6,394,2.0
7,124,5.0
7,244,2.0
7,351,3.0
8,100,2.0
8,260,3.0
9,92,3.0
9,94,4.0
9,122,2.0
9,187,2.0
9,188,5.0
9,233,3.0
9,334,1.0
9,365,2.0
10,108,1.0
10,230,2.0
11,15,4.0
11,117,2.0
11,190,1.0
11,197,5.0
11,226,4.0
11,258,3.0
11,374,2.0
12,44,3.0
12,53,2.0
12,69,5.0
12,130,5.0
12,142,5.0
12,149,2.0
12,155,4.0
12,185,5.0
12,281,4.0
12,314,5.0
12,338,2.0
12,351,4.0
13,375,4.0
15,120,4.0
15,132,1.0
15,161,4.0
15,192,1.0
15,210,2.0
15,230,4.0
15,280,1.0
15,365,1.0
15,372,2.0
16,136,4.0
16,138,3.0
16,140,3.0
16,170,3.0
16,177,1.0
16,185,4.0
16,267,3.0
16,283,3.0
16,318,3.0
16,334,1.0
16,392,5.0
17,28,3.0
17,59,4.0
17,125,2.0
17,131,3.0
17,205,3.0
17,247,5.0
17,343,4.0
17,353,3.0
17,360,2.0
17,371,5.0
17,379,5.0
17,381,3.0
17,387,3.0
18,57,3.0
18,126,5.0
18,222,2.0
18,264,5.0
18,289,3.0
19,20,5.0
19,65,3.0
19,124,4.0
19,239,4.0
19,325,2.0
19,367,3.0
19,395,3.0
20,70,1.0
20,88,3.0
20,89,5.0
20,96,2.0
20,125,2.0
20,166,2.0
20,187,2.0
20,226,4.0
20,371,4.0
20,380,3.0
22,2,3.0
22,67,3.0
22,107,4.0
22,170,4.0
22,202,4.0
22,251,3.0
22,313,3.0
22,329,2.0
22,397,5.0
23,45,2.0
23,71,3.0
23,89,4.0
23,102,1.0
23,104,2.0
23,134,4.0
23,146,1.0
23,149,5.0
23,188,5.0
23,190,1.0
23,327,5.0
23,332,3.0
24,34,2.0
24,149,3.0
24,167,4.0
24,194,3.0
24,285,1.0
24,381,5.0
25,2,3.0
25,184,5.0
25,209,5.0
25,212,1.0
25,285,1.0
26,9,3.0
26,27,2.0
26,36,3.0
26,121,2.0
26,123,1.0
26,139,3.0
26,208,1.0
26,248,2.0
26,288,1.0
26,289,3.0
26,341,1.0
26,375,4.0
26,386,3.0
26,394,1.0
27,284,1.0
28,115,2.0
28,188,5.0
28,202,5.0
28,252,2.0
28,257,1.0
28,264,5.0
28,288,1.0
28,361,4.0
29,21,2.0
29,44,2.0
29,180,2.0
29,239,4.0
29,244,3.0
29,313,2.0
29,344,3.0
29,362,4.0
29,391,4.0
30,17,2.0
30,25,5.0
30,38,4.0
30,57,3.0
30,62,4.0
30,128,4.0
30,179,4.0
30,194,3.0
30,211,1.0
30,251,4.0
30,285,1.0
30,392,5.0
30,393,2.0
31,10,2.0
31,14,4.0
31,65,3.0
31,82,1.0
31,112,1.0
31,115,1.0
31,139,5.0
31,174,2.0
31,188,4.0
31,221,2.0
31,360,3.0
31,392,5.0
32,15,3.0
32,18,5.0
32,21,1.0
32,50,3.0
32,61,2.0
32,65,2.0
32,75,3.0
32,88,3.0
32,100,3.0
32,113,1.0
32,198,5.0
32,201,5.0
32,221,1.0
32,240,4.0
32,290,4.0
32,298,3.0
32,310,3.0
32,339,2.0
32,341,1.0
32,344,2.0
32,382,4.0
33,22,2.0
33,279,3.0
34,71,2.0
34,174,2.0
35,82,1.0
35,90,2.0
35,200,1.0
35,255,3.0
36,14,3.0
36,30,1.0
36,37,4.0
36,42,3.0
36,44,2.0
36,62,2.0
36,173,2.0
36,204,3.0
36,254,3.0
36,257,1.0
36,261,3.0
36,272,2.0
36,278,1.0
36,292,1.0
36,295,2.0
36,312,2.0
36,330,1.0
36,336,1.0
36,361,4.0
36,372,3.0
36,373,4.0
36,385,2.0
36,394,1.0
37,14,4.0
37,85,4.0
37,91,5.0
37,125,1.0
37,162,2.0
37,211,1.0
37,247,5.0
37,356,4.0
37,374,5.0
38,7,4.0
38,120,3.0
38,147,5.0
38,182,5.0
38,254,3.0
38,316,1.0
38,384,4.0
39,6,3.0
39,63,2.0
39,64,4.0
39,185,2.0
39,194,5.0
39,199,4.0
39,224,3.0
39,228,2.0
39,229,5.0
39,234,5.0
39,238,4.0
39,261,5.0
39,275,5.0
39,286,4.0
39,312,4.0
39,319,4.0
39,329,2.0
39,371,4.0
39,379,5.0
39,385,2.0
39,388,5.0
